transaction_id,transaction_date,description,amount,transaction_type,category_id,classification_id,is_transfer,source,payment_method
3621,2025-09-01,3 BROTHERS PIZZA OCEAN CITY NJ,-61.89,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2177,2025-09-01,ACME.COM #XXXX XXX-XXX-4040 NJ,-162.25,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5398,2025-09-01,Kindle Svcs*670ZI5683,-6.61,Expense,100,,0,CREDIT CARD (-9983),Chase
5491,2025-09-01,SQ *CONGO FALLS OCEAN Ocean City NJ,-54.95,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5469,2025-09-01,SQ *ENCOUNTERS Ocean City NJ,-29.98,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
3769,2025-09-01,UBER *ONE MEMBERSHIP XXXXXX8996 CA,-9.99,Expense,87,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
236,2025-09-02,BILL PAYMENT OCEANFIRST BANK N.A.,-2681.87,Expense,13,,0,106 Newport,Fidelity Investments
2219,2025-09-02,CASELS'S MARGATE CITY NJ,-228.61,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
141,2025-09-02,DIRECT DEBIT ATLANTIC CITY BILLPAY,-843.57,Expense,10,,0,x00 S Stratford,Fidelity Investments
1198,2025-09-02,DIRECT DEBIT SYNCHRONY BANKPAYMENT,-500.0,Expense,38,,0,Groceries and Other Spending,Fidelity Investments
5255,2025-09-02,DIRECT DEBIT VENMO PAYMENT,-12.0,Expense,97,,0,Groceries and Other Spending,Fidelity Investments
5266,2025-09-02,DIRECT DEBIT VENMO PAYMENT,-1390.0,Expense,97,,0,Groceries and Other Spending,Fidelity Investments
5457,2025-09-02,WEC ENERGY GROUP INC COM - REINVESTMENT as of XXXX-X9-01 WEC ENERGY GROUP INC COM,-24.59,Expense,101,,1,INVESTMENTS,Fidelity Investments
4920,2025-09-03,Amazon Digit*354VR7CE3,-11.02,Expense,92,,0,CREDIT CARD (-9983),Chase
81,2025-09-03,BILL PAYMENT BRUSH MASTERS PAINTING,-7070.94,Expense,7,22.0,0,x00 S Stratford,Fidelity Investments
4630,2025-09-04,AMAZON MKTPL*0D1K221Z3,-80.01,Expense,90,,0,CREDIT CARD (-9983),Chase
2367,2025-09-04,"CATHERINE W. LARKIN, M SEATTLE WA",-20.0,Expense,54,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5262,2025-09-04,DIRECT DEBIT VENMO PAYMENT,-110.0,Expense,97,,0,Groceries and Other Spending,Fidelity Investments
5264,2025-09-04,DIRECT DEBIT VENMO PAYMENT,-125.0,Expense,97,,0,Groceries and Other Spending,Fidelity Investments
804,2025-09-04,DUNKIN #XX6233 VENTNOR CITY NJ,-7.02,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
